_id,restaurant_id,menu_item,price,category
b2b28561-83e4-4773-9dde-9322aa49f66b,507f1f77bcf86cd799439011,Cappuccino 12oz,4.75,Uncategorized
7d458d5e-13d3-4f1d-86ca-3880f0056e65,507f1f77bcf86cd799439011,Drip Coffee 8oz,3.75,Uncategorized
3f78f8ab-3b89-4559-a5e9-eea05ffdb423,507f1f77bcf86cd799439011,Drip Coffee 12oz,4.5,Uncategorized
678461af-0baa-48f8-a056-3178e0da84be,507f1f77bcf86cd799439011,Drip Coffee 16oz,5.0,Uncategorized
0997f585-ee52-4422-9418-12ab04ca247b,507f1f77bcf86cd799439011,Cold Brew 12oz,4.75,Uncategorized
6ab08127-90dc-42ed-b5c6-26a24ff2e7ec,507f1f77bcf86cd799439011,Cold Brew 16oz,5.25,Uncategorized
89799e00-a6e8-4025-ba02-cefd2bd943be,507f1f77bcf86cd799439011,Traditional Machiatto,4.0,Uncategorized
9ad0de76-0893-42d6-9ea6-819282390e3e,507f1f77bcf86cd799439011,Cortado,4.0,Uncategorized
02f90067-dcf3-4b5c-a09d-40c337b33083,507f1f77bcf86cd799439011,Espresso Shots (2),3.75,Uncategorized
ed2674dc-b9f4-424f-ac2a-9251c937ed4b,507f1f77bcf86cd799439011,Coffee/Espresso - Add Syrup 8oz,0.5,Uncategorized
a774085d-a0bc-4479-a427-17e18240b4ac,507f1f77bcf86cd799439011,Coffee/Espresso - Add Syrup 12oz,0.75,Uncategorized
58a80735-cc88-4fc1-ba3e-e94074156b85,507f1f77bcf86cd799439011,Coffee/Espresso - Add Syrup 16oz,1.0,Uncategorized
694f273a-4d6f-4c4e-9ee6-42c8100f89b7,507f1f77bcf86cd799439011,Coffee/Espresso - Alt Milk 8oz,0.5,Uncategorized
9116d670-c46f-4fed-9f3a-96ad92545caa,507f1f77bcf86cd799439011,Coffee/Espresso - Alt Milk 12oz,0.75,Uncategorized
d05e771d-f7b7-4c01-9039-0b51a5b6959b,507f1f77bcf86cd799439011,Coffee/Espresso - Alt Milk 16oz,1.0,Uncategorized
3733636d-0fe9-4c69-8e24-6df79b72d926,507f1f77bcf86cd799439011,COOKIE,2.5,Uncategorized
9c3051eb-8a44-42f3-9305-c3a49bf473fe,507f1f77bcf86cd799439011,RUGELACH (SEASONAL),2.5,Uncategorized
5f54c77c-bae4-440d-99b1-ccee66f9a128,507f1f77bcf86cd799439011,1/2# WHOLE BEAN COFFEE,8.0,Uncategorized
c669bdda-cf4c-4a9c-a8c9-ef179bbb332c,507f1f77bcf86cd799439011,1# WHOLE BEAN COFFEE,16.0,Uncategorized
